"日付","始値","高値","安値","終値","前月比","前月比％","売買高(株)","code"
"10/08/31","660","679","618","642","-22","-3.3","381,980,900",7201
"10/07/30","616","688","600","664","38","6.1","365,731,300",7201
"10/06/30","663","702","608","626","-38","-5.7","444,430,800",7201
"10/05/31","791","800","630","664","-159","-19.3","456,668,700",7201
"10/04/30","810","845","776","823","22","2.7","324,423,300",7201
"10/03/31","705","814","692","801","96","13.6","397,565,600",7201
"10/02/26","731","772","695","705","-31","-4.2","405,915,700",7201
"10/01/29","813","824","710","736","-74","-9.1","388,473,600",7201
"22/05/31","2,267.0","2,282.5","1,971.0","2,122.5","-113","-5.1","545,952,200",7203
"22/04/28","2,222.5","2,269.0","2,065.5","2,235.5","13","0.6","527,209,900",7203
"22/03/31","2,119.5","2,262.0","1,805.0","2,222.5","84","3.9","808,023,700",7203
"22/02/28","2,261.0","2,375.5","2,078.5","2,138.5","-107","-4.8","477,052,100",7203
