"code","value","type","inves","購入時手数料（上限）","信託財産留保額","運用管理費用（信託報酬）"
"JP90C000GMS8","楽天・インデックス・バランス・ファンド（債券重視型）","追加型/内外/資産複合","楽天投信投資顧問","0.00%","外枠なし","0.12000%"
"JP90C000GV81","ａｕスマート・ベーシック（安定）","追加型/内外/資産複合","ａｕアセットマネジメント","0.00%","外枠なし","0.22000%"
"JP90C000GV99","ａｕスマート・ベーシック（安定成長）","追加型/内外/資産複合","ａｕアセットマネジメント","0.00%","外枠なし","0.22000%"
"JP90C000GVW1","フィデリティ・ターゲット・デート・ファンド（ベーシック）２０６０","追加型/内外/資産複合","フィデリティ投信","3.00%以内","外枠なし","0.26600%"
"JP90C000H1T1","ｅＭＡＸＩＳ　Ｓｌｉｍ全世界株式（オール・カントリー）","追加型/内外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.10400%"
"JP90C000HZE8","たわらノーロード全世界株式","追加型/内外/株式","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.12000%"
"JP90C000J5T0","東京海上ターゲット・イヤー・ファンド２０３５","追加型/内外/資産複合","東京海上アセットマネジメント","0.00%","外枠なし","0.28000%"
"JP90C000J5U8","東京海上ターゲット・イヤー・ファンド２０４５","追加型/内外/資産複合","東京海上アセットマネジメント","0.00%","外枠なし","0.28000%"
"JP90C000J5V6","東京海上ターゲット・イヤー・ファンド２０５５","追加型/内外/資産複合","東京海上アセットマネジメント","0.00%","外枠なし","0.28000%"
"JP90C000J5W4","東京海上ターゲット・イヤー・ファンド２０６５","追加型/内外/資産複合","東京海上アセットマネジメント","0.00%","外枠なし","0.28000%"
"JP90C000JTA5","ＮＺＡＭ・ベータ日経２２５","追加型/国内/株式","農林中金全共連アセットマネジメント","0.00%","外枠なし","0.16000%"
"JP90C000JUG0","ＮＺＡＭ・ベータＳ＆Ｐ５００","追加型/海外/株式","農林中金全共連アセットマネジメント","-","外枠なし","0.24000%"
"JP90C000JUK2","ＮＺＡＭ・ベータ米国２資産（株式＋ＲＥＩＴ）","追加型/海外/資産複合","農林中金全共連アセットマネジメント","0.00%","外枠なし","0.37000%"
"JP90C000JUL0","ＮＺＡＭ・ベータ日本２資産（株式＋ＲＥＩＴ）","追加型/国内/資産複合","農林中金全共連アセットマネジメント","0.00%","外枠なし","0.22000%"
"JP90C000JX03","つみたて米国株式（Ｓ＆Ｐ５００）","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.20000%"
"JP90C000JX11","つみたて全世界株式","追加型/内外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.20000%"
