"code","fund","fundcode","インデックス型","設定日","償還日","償還までの期間","決算頻度","決算日","目論見書/運用報告書","解約手数料","type","inves","購入時手数料（上限）","信託財産留保額","運用管理費用（信託報酬）"
"JP90C000DVX6","ｉＦｒｅｅ８資産バランス","0431X169","該当なし","2016/09/08","無期限","無期限","年1回","09/07","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","大和アセットマネジメント","0.00%","外枠なし","0.22000%"
"JP90C000DXE2","たわらノーロード先進国株式＜為替ヘッジあり＞","4731116A","インデックス型","2016/10/03","無期限","無期限","年1回","10/12","目論見書","外枠なし","追加型/海外/株式","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.20000%"
"JP90C000E6Z0","＜購入・換金手数料なし＞ニッセイ日経平均インデックスファンド","2931316B","インデックス型","2016/11/21","無期限","無期限","年1回","02/15","目論見書 運用報告書","外枠なし","追加型/国内/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C000ENA9","ｅＭＡＸＩＳ　Ｓｌｉｍ国内株式（ＴＯＰＩＸ）","03317172","インデックス型","2017/02/27","無期限","無期限","年1回","04/25","目論見書 運用報告書","外枠なし","追加型/国内/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.14000%"
"JP90C000ENC5","ｅＭＡＸＩＳ　Ｓｌｉｍ先進国株式インデックス","03319172","インデックス型","2017/02/27","無期限","無期限","年1回","04/25","目論見書 運用報告書","外枠なし","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.09300%"
"JP90C000ERE2","たわらノーロードＴＯＰＩＸ","47317173","インデックス型","2017/03/21","無期限","無期限","年1回","10/12","目論見書","外枠なし","追加型/国内/株式","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.17000%"
"JP90C000EWV6","ｅＭＡＸＩＳ　Ｓｌｉｍバランス（８資産均等型）","03312175","インデックス型","2017/05/09","無期限","無期限","年1回","04/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.14000%"
"JP90C000F3F8","ＤＣニッセイワールドセレクトファンド（安定型）","29311177","該当なし","2017/07/14","無期限","無期限","年1回","02/21","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C000F7A0","たわらノーロードバランス（８資産均等型）","47313177","該当なし","2017/07/28","無期限","無期限","年1回","10/12","目論見書","外枠なし","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.22000%"
"JP90C000F7H5","ｅＭＡＸＩＳ　Ｓｌｉｍ新興国株式インデックス","0331C177","インデックス型","2017/07/31","無期限","無期限","年1回","04/25","目論見書 運用報告書","外枠なし","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.17000%"
"JP90C000F8D2","ＳＭＴ世界経済インデックス・オープン","64311178","該当なし","2017/08/25","無期限","無期限","年1回","06/10","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三井住友トラスト・アセットマネジメント","1.80%以内","外枠0.5％未満","0.50000%"
"JP90C000F8E0","つみたて日本株式（ＴＯＰＩＸ）","03312178","インデックス型","2017/08/16","無期限","無期限","年1回","06/25","目論見書 運用報告書","外枠なし","追加型/国内/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.18000%"
"JP90C000F8F7","つみたて先進国株式","03313178","インデックス型","2017/08/16","無期限","無期限","年1回","06/25","目論見書 運用報告書","外枠なし","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.20000%"
"JP90C000F8G5","つみたて新興国株式","03314178","インデックス型","2017/08/16","無期限","無期限","年1回","06/25","目論見書 運用報告書","外枠なし","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.34000%"
"JP90C000F8H3","つみたて８資産均等バランス","03315178","インデックス型","2017/08/16","無期限","無期限","年1回","06/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.22000%"
"JP90C000F8K7","ＳＭＴ世界経済インデックス・オープン（株式シフト型）","64312178","該当なし","2017/08/25","無期限","無期限","年1回","06/10","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三井住友トラスト・アセットマネジメント","1.80%以内","外枠0.5％未満","0.55000%"
"JP90C000F8L5","ＳＭＴ世界経済インデックス・オープン（債券シフト型）","64313178","該当なし","2017/08/25","無期限","無期限","年1回","06/10","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三井住友トラスト・アセットマネジメント","1.80%以内","外枠0.5％未満","0.45000%"
"JP90C000F8M3","つみたて日本株式（日経平均）","03316178","インデックス型","2017/08/16","無期限","無期限","年1回","06/25","目論見書 運用報告書","外枠なし","追加型/国内/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.18000%"
