"code","fundcode","期間","騰落率","リスク（標準偏差）","シャープレシオ"
"JP90C000ENC5","03319172","10年",NA,NA,NA
"JP90C000ERE2","47317173","6ヶ月",0.51,12.02,0.14
"JP90C000ERE2","47317173","1年",1.67,10.96,0.2
"JP90C000ERE2","47317173","3年",35.03,14.98,0.75
"JP90C000ERE2","47317173","5年",35.57,14.72,0.49
"JP90C000ERE2","47317173","10年",NA,NA,NA
"JP90C000EWV6","03312175","6ヶ月",1.36,11.15,0.29
"JP90C000EWV6","03312175","1年",3.13,8.59,0.4
"JP90C000EWV6","03312175","3年",27.65,11.38,0.78
"JP90C000EWV6","03312175","5年",35.6,10.1,0.66
"JP90C000EWV6","03312175","10年",NA,NA,NA
"JP90C000F3F8","29311177","6ヶ月",-1.19,3.46,-0.67
